session_id,timestamp,source,device,converted
6122,2024-06-28 14:08:00,ad,mobile,0
5689,2024-06-26 17:22:00,ad,desktop,1
7029,2024-07-01 14:51:00,ad,mobile,0
1410,2024-06-07 17:27:00,ad,mobile,0
348,2024-06-02 15:17:00,ad,tablet,0
1624,2024-06-08 12:19:00,social,desktop,0
6434,2024-06-29 14:47:00,ad,mobile,0
6949,2024-07-01 11:24:00,direct,desktop,0
3542,2024-06-17 08:09:00,search,tablet,0
2218,2024-06-11 11:39:00,ad,desktop,0
7613,2024-07-04 11:28:00,search,mobile,0
9509,2024-07-11 09:50:00,email,mobile,0
520,2024-06-03 07:23:00,email,mobile,0
10160,2024-07-14 13:33:00,search,desktop,0
5700,2024-06-26 15:09:00,ad,desktop,0
2095,2024-06-10 12:07:00,social,mobile,0
8372,2024-07-07 09:15:00,search,desktop,0
7392,2024-07-03 11:08:00,direct,mobile,0
7693,2024-07-04 13:47:00,search,mobile,0
9786,2024-07-12 15:54:00,ad,desktop,1
7867,2024-07-05 10:11:00,direct,desktop,0
3975,2024-06-18 09:30:00,search,desktop,0
6526,2024-06-29 07:31:00,ad,mobile,0
6972,2024-07-01 08:57:00,search,mobile,0
5895,2024-06-27 11:37:00,direct,tablet,0
7001,2024-07-01 13:20:00,email,desktop,0
9604,2024-07-12 11:49:00,ad,mobile,0
5651,2024-06-26 13:19:00,ad,mobile,0
6968,2024-07-01 15:15:00,ad,desktop,0
1949,2024-06-09 17:32:00,direct,mobile,1
6753,2024-06-30 12:42:00,ad,desktop,0
4379,2024-06-20 16:11:00,direct,desktop,0
4121,2024-06-19 17:41:00,search,mobile,0
5578,2024-06-25 07:41:00,ad,desktop,0
5153,2024-06-23 16:12:00,email,desktop,0
6694,2024-06-30 13:30:00,direct,mobile,0
9521,2024-07-12 17:03:00,search,mobile,0
134,2024-06-01 17:37:00,search,tablet,0
4074,2024-06-19 07:26:00,email,mobile,0
9925,2024-07-13 13:40:00,ad,desktop,0
1550,2024-06-07 16:08:00,ad,tablet,0
8507,2024-07-07 11:10:00,direct,mobile,0
7084,2024-07-01 14:36:00,search,mobile,0
6001,2024-06-27 10:34:00,search,mobile,0
46,2024-06-01 15:17:00,ad,mobile,0
9358,2024-07-11 10:03:00,email,tablet,0
7067,2024-07-01 17:07:00,social,mobile,0
7142,2024-07-02 07:12:00,search,mobile,0
6508,2024-06-29 11:08:00,ad,desktop,1
10219,2024-07-14 17:27:00,ad,desktop,0
9771,2024-07-12 07:11:00,direct,desktop,0
134,2024-06-01 17:37:00,search,tablet,0
9737,2024-07-12 12:05:00,search,desktop,0
4611,2024-06-21 08:05:00,search,tablet,0
4290,2024-06-20 09:47:00,email,desktop,0
9172,2024-07-10 09:45:00,search,mobile,0
7765,2024-07-04 15:44:00,direct,mobile,0
5488,2024-06-25 08:17:00,search,mobile,0
9655,2024-07-12 11:22:00,ad,tablet,0
6497,2024-06-29 09:06:00,ad,desktop,0
2214,2024-06-11 15:43:00,social,mobile,0
8579,2024-07-08 16:47:00,ad,mobile,0
4687,2024-06-21 08:08:00,search,mobile,0
825,2024-06-04 08:42:00,email,mobile,0
3902,2024-06-18 08:51:00,search,mobile,0
731,2024-06-04 11:46:00,ad,tablet,0
5820,2024-06-26 09:15:00,ad,desktop,0
4511,2024-06-21 07:34:00,ad,tablet,1
2692,2024-06-12 07:09:00,search,tablet,0
6710,2024-06-30 15:08:00,ad,tablet,0
2864,2024-06-13 09:53:00,email,mobile,0
1582,2024-06-08 17:51:00,search,desktop,0
7349,2024-07-02 08:12:00,ad,mobile,0
9474,2024-07-11 13:23:00,ad,desktop,0
5594,2024-06-25 11:51:00,ad,mobile,0
203,2024-06-01 14:53:00,search,mobile,1
7002,2024-07-01 10:36:00,direct,desktop,0
2833,2024-06-13 09:36:00,ad,mobile,0
5166,2024-06-24 07:55:00,ad,mobile,0
3201,2024-06-15 11:40:00,ad,mobile,0
388,2024-06-02 12:39:00,ad,desktop,0
1637,2024-06-08 17:43:00,email,mobile,0
7218,2024-07-02 15:09:00,direct,desktop,0
2769,2024-06-13 10:04:00,direct,desktop,0
9579,2024-07-12 16:38:00,search,mobile,0
9306,2024-07-11 12:52:00,ad,mobile,0
1386,2024-06-07 10:20:00,ad,desktop,0
5766,2024-06-26 17:24:00,ad,mobile,1
1941,2024-06-09 11:16:00,ad,mobile,0
8302,2024-07-07 10:12:00,ad,mobile,1
5540,2024-06-25 16:21:00,ad,mobile,0
8071,2024-07-06 12:48:00,search,mobile,0
9247,2024-07-10 08:17:00,search,desktop,0
8204,2024-07-06 07:07:00,search,desktop,0
3192,2024-06-15 12:45:00,direct,desktop,0
7648,2024-07-04 11:14:00,ad,desktop,0
3084,2024-06-14 16:48:00,email,desktop,0
8361,2024-07-07 11:48:00,search,desktop,0
3743,2024-06-17 14:22:00,ad,mobile,1
8488,2024-07-07 13:07:00,ad,mobile,0
1543,2024-06-07 11:58:00,ad,mobile,0
3831,2024-06-18 07:21:00,social,mobile,0
6122,2024-06-28 14:08:00,ad,mobile,0
2999,2024-06-14 12:38:00,direct,desktop,0
7732,2024-07-04 11:55:00,ad,desktop,0
7221,2024-07-02 17:27:00,ad,desktop,0
8818,2024-07-09 15:06:00,social,mobile,0
9515,2024-07-11 09:16:00,search,mobile,0
7478,2024-07-03 17:30:00,direct,mobile,0
7879,2024-07-05 10:41:00,search,desktop,1
3052,2024-06-14 13:31:00,search,mobile,0
816,2024-06-04 07:35:00,search,tablet,0
3906,2024-06-18 11:58:00,ad,tablet,0
5671,2024-06-26 16:32:00,search,mobile,0
947,2024-06-05 15:36:00,direct,mobile,0
6921,2024-07-01 14:29:00,direct,mobile,1
8733,2024-07-08 17:05:00,ad,desktop,0
5369,2024-06-25 09:22:00,ad,desktop,0
356,2024-06-02 10:18:00,search,tablet,0
10176,2024-07-14 14:38:00,search,mobile,0
8437,2024-07-07 12:29:00,ad,tablet,0
10190,2024-07-14 13:59:00,ad,desktop,0
4257,2024-06-20 13:48:00,direct,mobile,0
4794,2024-06-22 08:05:00,ad,mobile,0
3749,2024-06-17 16:44:00,search,tablet,0
3848,2024-06-18 09:09:00,email,mobile,0
10402,2024-07-15 15:58:00,email,mobile,1
9775,2024-07-12 10:56:00,direct,desktop,0
3172,2024-06-15 11:32:00,ad,desktop,0
6481,2024-06-29 13:15:00,direct,mobile,0
3354,2024-06-16 14:40:00,email,mobile,1
3712,2024-06-17 07:40:00,search,desktop,0
8029,2024-07-06 11:30:00,ad,mobile,0
62,2024-06-01 16:03:00,ad,tablet,0
6112,2024-06-28 16:53:00,email,desktop,0
6616,2024-06-30 14:35:00,search,mobile,1
4869,2024-06-22 10:52:00,ad,mobile,0
4666,2024-06-21 11:28:00,search,mobile,0
8137,2024-07-06 15:51:00,search,desktop,1
3975,2024-06-18 09:30:00,search,desktop,0
2927,2024-06-14 14:14:00,search,mobile,1
9378,2024-07-11 17:54:00,email,mobile,0
5026,2024-06-23 13:24:00,ad,mobile,0
7657,2024-07-04 13:28:00,direct,mobile,0
4338,2024-06-20 17:54:00,search,mobile,0
5165,2024-06-24 09:57:00,ad,mobile,0
2040,2024-06-10 15:25:00,search,desktop,0
8286,2024-07-07 07:44:00,ad,mobile,0
3552,2024-06-17 07:40:00,search,mobile,0
8092,2024-07-06 10:13:00,ad,desktop,1
2776,2024-06-13 11:00:00,ad,mobile,0
3291,2024-06-16 17:59:00,ad,mobile,0
9110,2024-07-10 13:26:00,search,mobile,0
7481,2024-07-03 13:15:00,ad,desktop,0
3542,2024-06-17 08:09:00,search,tablet,0
10296,2024-07-15 08:06:00,search,mobile,0
3855,2024-06-18 10:30:00,ad,desktop,0
6413,2024-06-29 15:53:00,ad,mobile,0
2318,2024-06-11 15:22:00,email,mobile,0
3054,2024-06-14 08:16:00,ad,mobile,0
6646,2024-06-30 13:25:00,ad,mobile,0
2685,2024-06-12 16:46:00,direct,desktop,0
8022,2024-07-06 16:10:00,ad,mobile,0
179,2024-06-01 10:51:00,direct,mobile,0
6756,2024-06-30 17:13:00,search,tablet,0
3289,2024-06-16 12:25:00,ad,mobile,1
2633,2024-06-12 13:57:00,social,desktop,0
5280,2024-06-24 12:07:00,email,mobile,0
3577,2024-06-17 08:11:00,ad,mobile,0
197,2024-06-01 16:59:00,search,desktop,0
1525,2024-06-07 17:27:00,search,desktop,0
5985,2024-06-27 17:16:00,ad,mobile,0
1069,2024-06-05 13:46:00,direct,mobile,0
5269,2024-06-24 11:46:00,search,mobile,1
8510,2024-07-07 16:07:00,search,mobile,0
10429,2024-07-15 16:29:00,ad,desktop,1
2798,2024-06-13 07:23:00,search,mobile,0
7779,2024-07-04 17:26:00,email,mobile,0
1278,2024-06-07 13:22:00,ad,mobile,0
8088,2024-07-06 17:38:00,ad,desktop,0
7768,2024-07-04 07:35:00,social,desktop,0
7611,2024-07-04 08:01:00,direct,mobile,0
9869,2024-07-13 12:49:00,search,mobile,1
4887,2024-06-22 08:53:00,search,mobile,0
4130,2024-06-19 14:44:00,search,desktop,0
9504,2024-07-11 09:18:00,ad,desktop,0
2659,2024-06-12 10:57:00,ad,mobile,0
2470,2024-06-11 12:05:00,ad,mobile,0
6193,2024-06-28 10:15:00,search,desktop,0
9002,2024-07-09 11:00:00,direct,desktop,0
544,2024-06-03 09:00:00,direct,desktop,0
7954,2024-07-05 17:34:00,search,mobile,0
5038,2024-06-23 09:07:00,ad,desktop,1
7245,2024-07-02 08:23:00,search,tablet,0
3980,2024-06-18 12:44:00,email,desktop,1
9987,2024-07-13 07:37:00,ad,desktop,0
9355,2024-07-11 11:05:00,ad,desktop,0
1671,2024-06-08 14:44:00,social,mobile,0
6554,2024-06-29 12:48:00,direct,mobile,0
6075,2024-06-27 07:44:00,ad,mobile,0
9657,2024-07-12 14:02:00,ad,desktop,1
10087,2024-07-13 12:29:00,ad,tablet,1
5926,2024-06-27 12:27:00,ad,tablet,0
9661,2024-07-12 08:32:00,search,desktop,0
5893,2024-06-27 16:20:00,search,tablet,1
5351,2024-06-25 11:36:00,ad,desktop,0
1927,2024-06-09 17:02:00,ad,mobile,0
6347,2024-06-28 08:01:00,search,desktop,0
7469,2024-07-03 10:00:00,ad,mobile,1
527,2024-06-03 07:57:00,ad,tablet,1
8440,2024-07-07 12:14:00,search,tablet,0
2754,2024-06-13 09:02:00,search,mobile,0
1613,2024-06-08 16:53:00,search,mobile,0
9030,2024-07-09 13:33:00,email,mobile,0
5081,2024-06-23 07:32:00,social,desktop,0
4944,2024-06-22 09:50:00,direct,desktop,0
5518,2024-06-25 08:00:00,ad,mobile,0
3082,2024-06-14 14:17:00,ad,desktop,0
6192,2024-06-28 15:41:00,search,desktop,1
764,2024-06-04 15:03:00,search,desktop,0
8301,2024-07-07 15:04:00,direct,desktop,0
4208,2024-06-19 07:39:00,ad,desktop,1
4850,2024-06-22 09:24:00,direct,mobile,0
9390,2024-07-11 07:58:00,search,mobile,0
8170,2024-07-06 17:35:00,search,mobile,0
8222,2024-07-06 14:02:00,direct,mobile,0
414,2024-06-02 13:47:00,email,desktop,0
3725,2024-06-17 11:54:00,direct,desktop,0
5865,2024-06-27 12:07:00,direct,desktop,0
6536,2024-06-29 08:12:00,ad,mobile,1
6510,2024-06-29 17:36:00,ad,mobile,0
6578,2024-06-29 11:44:00,search,tablet,0
7941,2024-07-05 15:51:00,search,tablet,0
6507,2024-06-29 08:36:00,search,mobile,0
9350,2024-07-11 16:27:00,ad,mobile,0
422,2024-06-02 17:50:00,email,mobile,0
4094,2024-06-19 12:56:00,search,desktop,0
5692,2024-06-26 14:33:00,search,mobile,0
1144,2024-06-06 15:07:00,search,desktop,0
5476,2024-06-25 07:06:00,search,desktop,0
2115,2024-06-10 08:31:00,ad,mobile,0
3305,2024-06-16 13:08:00,ad,mobile,0
9136,2024-07-10 12:00:00,email,mobile,0
9161,2024-07-10 13:37:00,ad,desktop,0
2122,2024-06-10 10:07:00,direct,mobile,0
3188,2024-06-15 17:31:00,search,desktop,1
8129,2024-07-06 14:31:00,search,mobile,0
4074,2024-06-19 07:26:00,email,mobile,0
4849,2024-06-22 09:12:00,ad,desktop,0
8881,2024-07-09 16:18:00,search,tablet,0
656,2024-06-03 10:31:00,direct,desktop,0
2798,2024-06-13 07:23:00,search,mobile,1
5961,2024-06-27 16:11:00,ad,mobile,0
3227,2024-06-15 11:14:00,email,desktop,0
432,2024-06-02 09:27:00,search,desktop,0
6967,2024-07-01 09:14:00,search,mobile,1
1007,2024-06-05 10:18:00,ad,desktop,1
5322,2024-06-24 12:32:00,ad,desktop,0
8723,2024-07-08 12:41:00,email,desktop,0
2700,2024-06-13 11:23:00,ad,desktop,0
4989,2024-06-23 15:52:00,ad,mobile,0
4131,2024-06-19 08:44:00,search,mobile,0
5673,2024-06-26 15:09:00,direct,desktop,0
8224,2024-07-06 16:16:00,ad,mobile,0
10053,2024-07-13 07:02:00,direct,mobile,0
6611,2024-06-30 13:02:00,direct,mobile,1
9191,2024-07-10 16:30:00,search,desktop,0
5809,2024-06-26 13:39:00,ad,desktop,0
6631,2024-06-30 08:22:00,ad,mobile,0
3376,2024-06-16 14:20:00,ad,desktop,0
6912,2024-07-01 14:26:00,direct,mobile,0
10353,2024-07-15 15:01:00,ad,mobile,0
4889,2024-06-22 15:29:00,ad,desktop,0
3651,2024-06-17 07:42:00,ad,mobile,0
4444,2024-06-20 10:01:00,search,tablet,0
9252,2024-07-10 08:36:00,ad,mobile,0
9130,2024-07-10 08:54:00,ad,mobile,0
1550,2024-06-07 16:08:00,ad,tablet,0
666,2024-06-03 08:35:00,direct,mobile,0
1407,2024-06-07 14:56:00,search,mobile,0
3976,2024-06-18 09:30:00,search,mobile,0
259,2024-06-01 17:50:00,direct,tablet,0
2057,2024-06-10 11:04:00,ad,mobile,0
6802,2024-06-30 12:41:00,social,mobile,0
1912,2024-06-09 14:50:00,email,mobile,0
1926,2024-06-09 16:39:00,social,desktop,0
5282,2024-06-24 10:31:00,ad,tablet,0
2251,2024-06-11 14:51:00,search,mobile,0
6837,2024-06-30 08:16:00,ad,mobile,0
6004,2024-06-27 08:21:00,search,mobile,0
3128,2024-06-15 07:14:00,ad,mobile,0
79,2024-06-01 07:03:00,search,mobile,0
1715,2024-06-08 12:27:00,search,desktop,0
492,2024-06-03 09:59:00,social,desktop,0
7616,2024-07-04 08:33:00,direct,desktop,1
5099,2024-06-23 11:36:00,direct,mobile,0
5427,2024-06-25 12:43:00,direct,mobile,0
7354,2024-07-02 14:57:00,ad,tablet,0
5436,2024-06-25 12:28:00,direct,desktop,0
8856,2024-07-09 11:53:00,direct,mobile,0
9156,2024-07-10 07:53:00,search,desktop,0
5922,2024-06-27 12:22:00,ad,mobile,0
4947,2024-06-22 15:03:00,ad,desktop,0
3037,2024-06-14 10:03:00,ad,mobile,0
2230,2024-06-11 14:29:00,email,desktop,0
6562,2024-06-29 17:02:00,search,mobile,0
5316,2024-06-24 14:49:00,ad,tablet,1
4608,2024-06-21 12:43:00,email,mobile,0
1010,2024-06-05 11:16:00,ad,desktop,1
1643,2024-06-08 16:13:00,search,tablet,1
6835,2024-06-30 11:36:00,direct,tablet,0
6889,2024-07-01 17:12:00,ad,tablet,0
6818,2024-06-30 14:35:00,social,mobile,0
775,2024-06-04 12:31:00,ad,mobile,0
9497,2024-07-11 08:08:00,search,mobile,0
783,2024-06-04 10:01:00,direct,tablet,0
9215,2024-07-10 15:39:00,search,mobile,0
2077,2024-06-10 09:35:00,search,desktop,1
8943,2024-07-09 09:51:00,direct,mobile,0
2308,2024-06-11 11:30:00,direct,mobile,0
781,2024-06-04 17:28:00,direct,mobile,0
8044,2024-07-06 10:33:00,direct,mobile,0
9137,2024-07-10 09:27:00,ad,mobile,0
9707,2024-07-12 14:29:00,search,mobile,0
5538,2024-06-25 17:04:00,email,tablet,0
1613,2024-06-08 16:53:00,search,mobile,0
539,2024-06-03 13:19:00,ad,desktop,0
7769,2024-07-04 11:39:00,search,mobile,0
7882,2024-07-05 17:00:00,search,desktop,0
10245,2024-07-14 17:11:00,search,desktop,0
5226,2024-06-24 15:55:00,direct,mobile,0
4519,2024-06-21 09:40:00,search,mobile,0
2354,2024-06-11 14:11:00,ad,desktop,0
5996,2024-06-27 14:07:00,direct,tablet,0
7654,2024-07-04 15:29:00,email,mobile,0
5,2024-06-01 16:18:00,search,mobile,0
6032,2024-06-27 13:10:00,search,mobile,0
1696,2024-06-08 11:44:00,direct,tablet,0
9824,2024-07-13 15:38:00,email,tablet,0
6369,2024-06-29 17:18:00,direct,desktop,0
4547,2024-06-21 16:23:00,ad,mobile,1
7936,2024-07-05 17:42:00,search,mobile,1
6923,2024-07-01 11:56:00,ad,mobile,0
8022,2024-07-06 16:10:00,ad,mobile,0
10076,2024-07-13 11:36:00,direct,mobile,0
4083,2024-06-19 14:44:00,ad,desktop,0
3052,2024-06-14 13:31:00,search,mobile,0
4446,2024-06-20 15:49:00,ad,desktop,1
6145,2024-06-28 10:45:00,direct,mobile,0
8656,2024-07-08 10:54:00,direct,tablet,0
8200,2024-07-06 14:25:00,direct,tablet,1
8313,2024-07-07 09:02:00,search,tablet,0
6370,2024-06-29 12:31:00,ad,mobile,0
4728,2024-06-22 12:05:00,email,desktop,1
4088,2024-06-19 17:58:00,direct,mobile,0
8658,2024-07-08 14:08:00,direct,mobile,0
1440,2024-06-07 10:42:00,email,desktop,0
8989,2024-07-09 10:06:00,search,mobile,1
8323,2024-07-07 16:36:00,ad,desktop,0
6415,2024-06-29 07:56:00,ad,mobile,0
6370,2024-06-29 12:31:00,ad,mobile,0
1085,2024-06-05 17:00:00,ad,mobile,0
470,2024-06-02 15:20:00,search,mobile,0
8163,2024-07-06 08:26:00,search,mobile,0
5196,2024-06-24 07:17:00,email,desktop,0
2397,2024-06-11 09:23:00,email,tablet,0
6447,2024-06-29 10:32:00,search,mobile,0
1356,2024-06-07 09:41:00,ad,mobile,1
7594,2024-07-04 10:43:00,ad,mobile,0
5156,2024-06-24 16:03:00,search,desktop,0
527,2024-06-03 07:57:00,ad,tablet,0
8672,2024-07-08 14:44:00,social,tablet,1
6781,2024-06-30 09:42:00,search,mobile,0
8575,2024-07-08 11:22:00,social,desktop,0
9523,2024-07-12 12:21:00,search,mobile,0
10189,2024-07-14 15:04:00,search,desktop,0
5803,2024-06-26 11:25:00,ad,desktop,0
6542,2024-06-29 08:35:00,direct,desktop,0
1614,2024-06-08 17:27:00,ad,mobile,0
2698,2024-06-13 15:38:00,direct,mobile,0
4694,2024-06-21 07:15:00,ad,desktop,0
23,2024-06-01 16:57:00,search,mobile,0
1948,2024-06-09 16:32:00,ad,desktop,0
9938,2024-07-13 11:36:00,direct,mobile,0
9546,2024-07-12 10:41:00,ad,desktop,1
7243,2024-07-02 09:21:00,ad,mobile,1
5700,2024-06-26 15:09:00,ad,desktop,0
5435,2024-06-25 11:34:00,ad,mobile,0
5110,2024-06-23 11:52:00,direct,desktop,0
7603,2024-07-04 08:57:00,search,mobile,0
1192,2024-06-06 16:24:00,ad,mobile,0
840,2024-06-04 07:59:00,ad,mobile,0
2647,2024-06-12 08:03:00,ad,mobile,0
6354,2024-06-28 07:29:00,ad,mobile,0
1943,2024-06-09 08:14:00,direct,desktop,0
3281,2024-06-16 11:51:00,search,mobile,0
9531,2024-07-12 08:54:00,ad,mobile,0
4482,2024-06-20 12:32:00,ad,mobile,0
7264,2024-07-02 16:35:00,search,mobile,0
9103,2024-07-10 08:28:00,search,mobile,0
2051,2024-06-10 07:11:00,social,mobile,0
5458,2024-06-25 11:47:00,direct,desktop,0
7541,2024-07-03 12:05:00,search,desktop,0
3909,2024-06-18 08:44:00,ad,desktop,0
8032,2024-07-06 12:59:00,ad,tablet,0
1763,2024-06-08 17:16:00,search,mobile,0
7878,2024-07-05 12:09:00,ad,mobile,1
3671,2024-06-17 14:22:00,ad,mobile,0
2926,2024-06-14 16:07:00,email,mobile,0
7623,2024-07-04 17:22:00,email,mobile,1
2741,2024-06-13 12:49:00,ad,mobile,0
4547,2024-06-21 16:23:00,ad,mobile,0
1633,2024-06-08 11:45:00,direct,desktop,0
6342,2024-06-28 15:40:00,email,mobile,0
3340,2024-06-16 12:07:00,social,tablet,0
8389,2024-07-07 17:33:00,ad,mobile,0
1488,2024-06-07 17:10:00,ad,mobile,0
8377,2024-07-07 17:05:00,direct,mobile,0
10045,2024-07-13 10:26:00,search,mobile,0
5987,2024-06-27 10:40:00,search,desktop,0
5342,2024-06-24 12:39:00,search,tablet,0
9295,2024-07-11 11:32:00,direct,mobile,0
4087,2024-06-19 07:16:00,email,mobile,1
1619,2024-06-08 08:49:00,ad,mobile,0
7630,2024-07-04 14:05:00,ad,mobile,0
6173,2024-06-28 09:21:00,direct,desktop,0
2055,2024-06-10 12:15:00,search,mobile,0
4404,2024-06-20 07:03:00,ad,desktop,0
3200,2024-06-15 10:50:00,search,mobile,0
8778,2024-07-08 17:23:00,search,mobile,0
1684,2024-06-08 15:17:00,direct,mobile,0
7724,2024-07-04 13:59:00,direct,mobile,0
375,2024-06-02 16:44:00,search,desktop,0
4152,2024-06-19 08:40:00,ad,mobile,0
3504,2024-06-16 17:03:00,email,desktop,1
10160,2024-07-14 13:33:00,search,desktop,0
9454,2024-07-11 09:43:00,search,mobile,0
4775,2024-06-22 14:59:00,search,desktop,0
4999,2024-06-23 07:30:00,ad,mobile,1
3619,2024-06-17 09:15:00,ad,desktop,0
7387,2024-07-03 13:42:00,search,mobile,0
8412,2024-07-07 11:15:00,social,mobile,0
1818,2024-06-09 16:30:00,ad,mobile,0
3464,2024-06-16 10:29:00,ad,desktop,1
10397,2024-07-15 13:28:00,search,mobile,0
3358,2024-06-16 08:29:00,direct,mobile,0
9096,2024-07-10 11:29:00,direct,mobile,0
1081,2024-06-05 15:50:00,ad,mobile,0
3628,2024-06-17 08:15:00,social,mobile,0
8132,2024-07-06 11:51:00,social,mobile,0
9701,2024-07-12 12:44:00,social,mobile,0
3988,2024-06-19 07:26:00,ad,mobile,1
5056,2024-06-23 08:06:00,search,mobile,0
10182,2024-07-14 14:59:00,email,mobile,0
8446,2024-07-07 12:20:00,ad,mobile,0
216,2024-06-01 14:37:00,search,mobile,0
1816,2024-06-09 17:32:00,ad,mobile,1
7694,2024-07-04 11:21:00,email,tablet,0
5796,2024-06-26 09:27:00,ad,mobile,0
8861,2024-07-09 15:31:00,search,desktop,0
6955,2024-07-01 16:04:00,search,tablet,0
9667,2024-07-12 10:31:00,search,mobile,0
897,2024-06-05 08:48:00,search,desktop,0
10141,2024-07-14 12:37:00,social,mobile,0
3915,2024-06-18 15:37:00,search,tablet,0
2853,2024-06-13 15:34:00,email,desktop,0
4378,2024-06-20 14:47:00,email,mobile,0
335,2024-06-02 14:41:00,ad,desktop,0
9202,2024-07-10 15:47:00,ad,mobile,0
4352,2024-06-20 11:19:00,search,desktop,1
3563,2024-06-17 09:22:00,direct,desktop,0
1354,2024-06-07 10:34:00,search,mobile,1
9434,2024-07-11 17:34:00,direct,mobile,0
7854,2024-07-05 16:12:00,search,mobile,0
9586,2024-07-12 12:52:00,email,desktop,0
9447,2024-07-11 15:34:00,social,mobile,0
776,2024-06-04 09:25:00,direct,desktop,1
7290,2024-07-02 11:57:00,search,mobile,0
9519,2024-07-12 11:33:00,ad,mobile,0
7405,2024-07-03 07:52:00,ad,mobile,0
2375,2024-06-11 17:11:00,ad,tablet,0
1565,2024-06-07 08:25:00,search,mobile,0
6383,2024-06-29 15:25:00,email,mobile,0
7296,2024-07-02 12:39:00,ad,desktop,0
8423,2024-07-07 11:19:00,social,mobile,0
1523,2024-06-07 17:48:00,ad,desktop,0
7455,2024-07-03 11:28:00,ad,desktop,1
1736,2024-06-08 07:46:00,ad,mobile,0
7185,2024-07-02 13:45:00,ad,tablet,0
3152,2024-06-15 10:33:00,email,desktop,0
1822,2024-06-09 08:44:00,direct,mobile,0
4602,2024-06-21 08:19:00,ad,desktop,0
8931,2024-07-09 16:25:00,search,mobile,0
197,2024-06-01 16:59:00,search,desktop,0
9369,2024-07-11 08:14:00,email,mobile,0
1788,2024-06-08 17:31:00,search,desktop,0
7521,2024-07-03 16:55:00,email,tablet,0
7092,2024-07-01 15:55:00,ad,tablet,0
6654,2024-06-30 15:10:00,search,mobile,1
8320,2024-07-07 16:12:00,search,mobile,0
7794,2024-07-05 16:53:00,ad,mobile,0
8666,2024-07-08 16:29:00,search,mobile,0
3753,2024-06-17 16:26:00,email,desktop,1
10162,2024-07-14 17:59:00,direct,mobile,0
9925,2024-07-13 13:40:00,ad,desktop,0
7984,2024-07-05 15:43:00,email,mobile,0
1856,2024-06-09 13:09:00,search,mobile,0
5900,2024-06-27 15:13:00,ad,desktop,0
2511,2024-06-12 07:53:00,ad,desktop,1
5269,2024-06-24 11:46:00,search,mobile,0
10097,2024-07-13 17:04:00,search,desktop,0
1120,2024-06-06 15:04:00,direct,mobile,0
4876,2024-06-22 10:14:00,ad,mobile,1
1712,2024-06-08 17:56:00,ad,mobile,0
